# Constructed from biom file
#OTU ID	S10	S11	S12	S13	S20	S21	S22	S23	S26	S27	S28	S29	S4	S5	S6	S7
e1ec1a787ded89ac1a2d3b9a559ea13b	0.0	0.0	0.0	20.0	127.0	46.0	11.0	15.0	35.0	373.0	198.0	629.0	0.0	0.0	0.0	0.0
5aa5727e70029b05c1cf10a1bdbb9848	153.0	137.0	746.0	105.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	149.0	68.0	44.0
a9a7d2b90c8a7957e5f27613c9de1f26	40.0	0.0	216.0	64.0	0.0	0.0	0.0	0.0	102.0	371.0	243.0	408.0	0.0	0.0	0.0	0.0
5f860792e75c63fee7cc9ba712c92163	193.0	190.0	776.0	164.0	0.0	0.0	0.0	0.0	11.0	33.0	0.0	0.0	0.0	0.0	6.0	0.0
c6ad9637214d6c055cc1b8b43484f92d	0.0	22.0	94.0	33.0	280.0	229.0	82.0	223.0	30.0	88.0	65.0	164.0	16.0	23.0	0.0	0.0
4e18372b0fcaf07875b761a7a593077d	61.0	66.0	220.0	0.0	226.0	185.0	71.0	0.0	47.0	0.0	101.0	191.0	0.0	104.0	34.0	0.0
d74649548ede9c4ab6eb6fdb9c56cb6a	182.0	545.0	348.0	225.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
397b2d1442189f3add54098be86a19da	116.0	186.0	568.0	369.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	31.0	11.0	7.0
7edb33f7e2a708b8158295c359513f1e	0.0	0.0	235.0	0.0	0.0	0.0	0.0	0.0	36.0	199.0	175.0	613.0	0.0	0.0	0.0	7.0
b7f5af401f678ffbe9f7299cfa59e3bf	0.0	57.0	191.0	42.0	0.0	0.0	0.0	0.0	76.0	234.0	179.0	484.0	0.0	0.0	0.0	0.0
1ea126def7da899168c394f0874c59bf	123.0	372.0	256.0	480.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d99ed017ee788605f687f39227b528b4	29.0	47.0	144.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	201.0	372.0	200.0	167.0
f662afccff4067c3406662c27a42ddff	130.0	179.0	598.0	153.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0
42ea39cfcd68f7d8933fb5b4a75494b8	65.0	58.0	193.0	56.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	122.0	234.0	210.0	118.0
7d77cb1360f59a3f35f97b95fc3aa6d0	0.0	142.0	306.0	129.0	0.0	0.0	0.0	58.0	55.0	161.0	0.0	169.0	37.0	0.0	0.0	0.0
380da22a60c8e521da0a05b8e5e4b432	0.0	0.0	298.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	53.0	0.0	510.0	0.0	163.0
714791150ace8da3ad15b2773727a2e8	153.0	70.0	500.0	85.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	55.0	96.0	42.0	0.0
52d75fec8b161924aa5f2a57c2e03b12	48.0	45.0	152.0	68.0	55.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	109.0	221.0	171.0	97.0
c191dfa81e4dfbec07f159025791f8f4	219.0	91.0	430.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	197.0	13.0	0.0
705f734c8453cf6fd4cc7c34def7aaa7	52.0	109.0	145.0	159.0	2.0	0.0	0.0	0.0	110.0	239.0	63.0	104.0	0.0	0.0	0.0	0.0
fc4eebd30001d04ca0b5484734259c42	102.0	88.0	494.0	72.0	56.0	40.0	0.0	30.0	0.0	0.0	0.0	0.0	21.0	37.0	17.0	15.0
4da1ab0190b065b4136bce78f2a475b7	83.0	116.0	493.0	94.0	0.0	0.0	0.0	0.0	54.0	73.0	0.0	0.0	0.0	0.0	25.0	0.0
da87b7f6949e8af815fcce07c20818de	83.0	98.0	480.0	77.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	98.0	0.0	18.0
93fcb55c0c5311c77d0df60de969ae37	0.0	0.0	0.0	0.0	127.0	106.0	48.0	193.0	49.0	138.0	100.0	136.0	0.0	0.0	0.0	0.0
c535d42f76854770a94bf1e2be6b7f56	154.0	65.0	488.0	164.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bd5b4d5e4b8f248260fee5af5649c3f4	0.0	0.0	0.0	0.0	18.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	171.0	273.0	175.0	167.0
21c09d0f35ce200b2c4a50960e53bc98	0.0	187.0	305.0	159.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	101.0	53.0	0.0
0fb538dc7ae93db1aad8af6b841e0274	26.0	39.0	95.0	49.0	69.0	71.0	0.0	53.0	69.0	185.0	78.0	110.0	0.0	0.0	0.0	0.0
b953c42c8ada58597d2d19efebfe076b	65.0	367.0	74.0	325.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
94165b5ad9ff0d2f4879bc64c824ba55	49.0	11.0	139.0	0.0	12.0	0.0	0.0	6.0	55.0	201.0	120.0	214.0	0.0	0.0	0.0	0.0
d5ed4e7a4da0daf016f0c14c411b7ef6	12.0	0.0	41.0	20.0	75.0	36.0	0.0	56.0	62.0	164.0	97.0	238.0	0.0	0.0	0.0	6.0
5144e8d582f2c2b23edc40abd95c4cd7	114.0	27.0	388.0	36.0	0.0	0.0	0.0	0.0	29.0	87.0	0.0	94.0	0.0	0.0	0.0	0.0
18daac31582358b3923cde967a1179ed	0.0	0.0	0.0	0.0	253.0	211.0	80.0	230.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0b6a7fb1e3b155264debe582497d69d2	94.0	60.0	323.0	102.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	47.0	111.0	0.0	0.0
959e3f8dd00c79cbf650107f4d784cd4	0.0	66.0	276.0	121.0	42.0	0.0	0.0	67.0	0.0	28.0	0.0	84.0	0.0	77.0	0.0	0.0
cfaa653f395d823bf55b9790b2d15318	0.0	40.0	166.0	0.0	93.0	90.0	23.0	89.0	0.0	24.0	0.0	53.0	41.0	131.0	0.0	0.0
