OTU,S1,S2,S3,S4,S5,S6,S7,S8,S9,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV177,230,120,315,19,14,0,0,0,59,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae 1,g__Proteiniclasticum,
ASV101,0,52,787,0,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,
ASV108,0,0,0,0,0,0,80,44,372,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Aquamicrobium,
ASV420,0,25,49,0,0,0,20,100,76,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__Treponema 2,
ASV297,65,75,142,77,33,0,71,16,69,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,
ASV228,0,22,0,105,89,54,141,0,66,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__Christensenellaceae R-7 group,
ASV371,0,0,0,0,0,0,412,0,0,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Cellvibrionaceae,g__Cellvibrio,
ASV210,0,0,0,262,128,86,0,0,0,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__uncultured,
ASV506,0,0,0,76,0,0,335,0,12,k__Bacteria,p__TA06,,,,,
ASV284,60,19,50,178,29,17,116,5,16,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Leptospiraceae,g__uncultured,
ASV229,52,0,27,0,24,29,24,58,190,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Family XII,g__Acidaminobacter,
ASV215,0,0,0,0,0,3,171,21,269,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,
ASV244,0,0,0,0,0,0,116,50,201,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillales Incertae Sedis,g__Reyranella,
ASV243,189,63,0,77,0,0,162,0,0,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__uncultured,
ASV289,0,143,309,73,0,16,0,0,0,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Acholeplasmatales,f__Acholeplasmataceae,g__Acholeplasma,
