OTU,S1,S2,S3,S4,S5,S6,S7,S8,S9,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu134,31,54,105,99,188,62,75,48,158,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__Christensenellaceae R-7 group,
Otu270,48,31,135,399,26,10,213,3,10,k__Bacteria,p__Cloacimonetes,,,,,
Otu80,670,206,307,1,1,0,3,0,14,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,
Otu184,4,2,7,348,262,172,9,2,9,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Blvii28 wastewater-sludge group,
Otu105,7,4,13,43,395,116,119,20,135,k__Bacteria,p__Cloacimonetes,,,,,
Otu133,24,5,17,5,10,8,281,68,279,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__uncultured,
Otu131,60,131,255,325,14,14,67,3,35,k__Bacteria,p__Hydrogenedentes,,,,,
Otu132,44,25,66,97,179,68,146,29,170,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__Christensenellaceae R-7 group,
Otu85,3,1,1,0,67,27,59,49,708,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Phaselicystidaceae,g__Phaselicystis,
Otu202,95,285,375,60,47,34,3,1,4,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Sulfurospirillum,
Otu171,128,178,435,94,38,11,27,10,46,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__Spirochaeta 2,
Otu75,32,66,137,15,18,2,366,14,142,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Azonexus,
Otu209,62,26,60,111,47,35,145,44,244,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__uncultured,
Otu120,53,77,157,190,58,21,167,16,81,k__Bacteria,p__Cloacimonetes,c__LNR A2-18,,,,
Otu361,1,1,5,2,0,0,643,3,11,k__Bacteria,p__Planctomycetes,c__Planctomycetacia,o__Planctomycetales,f__Planctomycetaceae,g__Planctomyces,
Otu434,0,0,0,0,3,2,92,134,270,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__uncultured,
Otu135,36,37,81,50,306,126,36,23,106,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Leptospiraceae,g__uncultured,
Otu87,298,62,177,23,79,16,76,40,120,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Azovibrio,
Otu538,0,0,0,2,0,1,0,191,116,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__uncultured,
Otu115,158,136,369,68,62,16,88,5,41,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__Christensenellaceae R-7 group,
Otu355,22,25,49,18,18,11,18,147,129,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__Treponema 2,
Otu215,3,0,3,77,102,65,294,25,93,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobulbaceae,g__Desulfobulbus,
Otu157,127,47,105,43,69,20,56,59,222,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Erysipelothrix,
