SV,Ex_S1,Ex_S2,Ex_S3,Ex_S4,Ex_S5,Ex_S6,Ex_S7,Ex_S8,Ex_S9,Ex_S10,Ex_S11,Ex_S12,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu139,780,113,312,1130,200,42,48,41,715,81,12,0,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__vadinBC27 wastewater-sludge group,
Otu101,3,312,23,1871,10,484,5,187,221,87,8,66,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Leucobacter,
Otu90,670,329,134,2824,206,547,1,3,2,5,0,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,
Otu142,476,36,72,193,385,182,28,9,72,42,3,6,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,,
Otu126,3,0,2,18,8,3,97,157,1435,201,151,20,k__Bacteria,p__Chlorobi,c__Ignavibacteria,o__Ignavibacteriales,f__IheB3-7,,
Otu146,0,1,0,1,5,351,1,0,0,0,0,0,k__Bacteria,p__Tenericutes,c__Mollicutes,o__EUB33-2,,,
Otu136,53,21,119,610,77,253,190,167,274,33,74,16,k__Bacteria,p__Cloacimonetes,c__LNR A2-18,,,,
Otu416,5,0,46,22,2,9,12,8,199,26,0,0,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__Thermovirga,
Otu121,0,0,0,35,0,0,30,103,75,26,458,137,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylocaldum,
Otu138,1,0,0,788,0,199,0,62,3,230,10,317,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__Nitrosomonas,
Otu107,58,2,35,143,15,12,666,13,1422,16,507,8,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,,
Otu178,10,6,4,68,14,21,60,193,96,241,115,20,k__Bacteria,p__Cloacimonetes,c__LNR A2-18,,,,
Otu158,62,27,49,89,26,21,111,145,509,80,51,44,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,,
Otu133,76,267,29,2040,103,226,1,45,3,387,11,6,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfomicrobiaceae,g__Desulfomicrobium,
Otu307,0,0,0,0,0,0,0,8,12,709,0,7,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Denitratisoma,
Otu149,17,2,36,715,14,198,1,21,1,13,3,0,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,
Otu187,10,7,3,46,13,17,66,176,86,240,135,12,k__Bacteria,p__Cloacimonetes,c__LNR A2-18,,,,
Otu92,49,3,11,10,73,3,1033,1,8976,15,2,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobulbaceae,,
Otu125,101,49,66,791,0,2,0,4,81,34,200,70,k__Bacteria,p__Tenericutes,c__Mollicutes,o__NB1-n,f__RFN82,,
